Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base,,
2050,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.82,99.85,89.67,,
2051,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.87,99.89,89.88,,
2052,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.9,99.92,90.08,,
2053,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.93,99.95,90.28,,
2054,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.95,99.96,90.48,,
2055,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.97,99.97,90.68,,
2056,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.98,99.98,90.88,,
2057,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.98,99.99,91.08,,
2058,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.99,99.99,91.27,,
2059,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.99,99.99,91.47,,
2060,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,99.99,100,91.66,,
2061,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,91.85,,
2062,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,92.04,,
2063,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,92.23,,
2064,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,92.42,,
2065,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,92.6,,
2066,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,92.78,,
2067,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,92.96,,
2068,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,93.14,,
2069,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,93.31,,
2070,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,93.47,,
2071,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,93.62,,
2072,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,93.76,,
2073,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,93.9,,
2074,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,94.04,,
2075,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,94.17,,
2076,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,94.3,,
2077,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,94.42,,
2078,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,94.55,,
2079,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,94.67,,
2080,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,94.79,,
2081,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,94.9,,
2082,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.01,,
2083,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.12,,
2084,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.23,,
2085,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.33,,
2086,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.43,,
2087,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.53,,
2088,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.62,,
2089,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.72,,
2090,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.8,,
2091,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.89,,
2092,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,95.97,,
2093,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,96.06,,
2094,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,96.13,,
2095,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,96.19,,
2096,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,96.26,,
2097,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,96.32,,
2098,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,96.38,,
2099,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,96.44,,
2100,Sanitation%Improved,Improved sanitation access (percent),HDI Medium,100,100,96.5,,
2019,WatSafImpNumb,Improved water access (number of people),HDI Medium,"2,098",2098,2098,,
2020,WatSafImpNumb,Improved water access (number of people),HDI Medium,2130,2130,2130,,
2021,WatSafImpNumb,Improved water access (number of people),HDI Medium,2157,2157,2157,,
2022,WatSafImpNumb,Improved water access (number of people),HDI Medium,2185,2185,2185,,
2023,WatSafImpNumb,Improved water access (number of people),HDI Medium,2219,2219,2219,,
2024,WatSafImpNumb,Improved water access (number of people),HDI Medium,2253,2255,2253,,
2025,WatSafImpNumb,Improved water access (number of people),HDI Medium,2287,2290,2285,,
2026,WatSafImpNumb,Improved water access (number of people),HDI Medium,2322,2326,2316,,
2027,WatSafImpNumb,Improved water access (number of people),HDI Medium,2357,2361,2347,,
2028,WatSafImpNumb,Improved water access (number of people),HDI Medium,2392,2397,2378,,
2029,WatSafImpNumb,Improved water access (number of people),HDI Medium,2427,2431,2406,,
2030,WatSafImpNumb,Improved water access (number of people),HDI Medium,2461,2465,2435,,
2031,WatSafImpNumb,Improved water access (number of people),HDI Medium,2495,2499,2462,,
2032,WatSafImpNumb,Improved water access (number of people),HDI Medium,2528,2532,2489,,
2033,WatSafImpNumb,Improved water access (number of people),HDI Medium,2561,2565,2516,,
2034,WatSafImpNumb,Improved water access (number of people),HDI Medium,2594,2598,2542,,
2035,WatSafImpNumb,Improved water access (number of people),HDI Medium,2625,2629,2568,,
2036,WatSafImpNumb,Improved water access (number of people),HDI Medium,2656,2659,2593,,
2037,WatSafImpNumb,Improved water access (number of people),HDI Medium,2686,2689,2618,,
2038,WatSafImpNumb,Improved water access (number of people),HDI Medium,2714,2715,2642,,
2039,WatSafImpNumb,Improved water access (number of people),HDI Medium,2739,2740,2666,,
2040,WatSafImpNumb,Improved water access (number of people),HDI Medium,2764,2764,2690,,
2041,WatSafImpNumb,Improved water access (number of people),HDI Medium,2787,2787,2713,,
2042,WatSafImpNumb,Improved water access (number of people),HDI Medium,2810,2809,2734,,
2043,WatSafImpNumb,Improved water access (number of people),HDI Medium,2831,2830,2754,,
2044,WatSafImpNumb,Improved water access (number of people),HDI Medium,2851,2849,2774,,
2045,WatSafImpNumb,Improved water access (number of people),HDI Medium,2871,2868,2793,,
2046,WatSafImpNumb,Improved water access (number of people),HDI Medium,2889,2886,2811,,
2047,WatSafImpNumb,Improved water access (number of people),HDI Medium,2906,2902,2829,,
2048,WatSafImpNumb,Improved water access (number of people),HDI Medium,2922,2918,2846,,
2049,WatSafImpNumb,Improved water access (number of people),HDI Medium,2937,2933,2863,,
2050,WatSafImpNumb,Improved water access (number of people),HDI Medium,2951,2946,2879,,
2051,WatSafImpNumb,Improved water access (number of people),HDI Medium,2965,2959,2895,,
2052,WatSafImpNumb,Improved water access (number of people),HDI Medium,2977,2971,2910,,
2053,WatSafImpNumb,Improved water access (number of people),HDI Medium,2988,2983,2924,,
2054,WatSafImpNumb,Improved water access (number of people),HDI Medium,2999,2993,2938,,
2055,WatSafImpNumb,Improved water access (number of people),HDI Medium,3009,3003,2951,,
2056,WatSafImpNumb,Improved water access (number of people),HDI Medium,3018,3012,2963,,
2057,WatSafImpNumb,Improved water access (number of people),HDI Medium,3027,3020,2975,,
2058,WatSafImpNumb,Improved water access (number of people),HDI Medium,3035,3028,2986,,
2059,WatSafImpNumb,Improved water access (number of people),HDI Medium,3042,3035,2996,,
2060,WatSafImpNumb,Improved water access (number of people),HDI Medium,3048,3041,3006,,
2061,WatSafImpNumb,Improved water access (number of people),HDI Medium,3054,3047,3015,,
2062,WatSafImpNumb,Improved water access (number of people),HDI Medium,3059,3052,3024,,
2063,WatSafImpNumb,Improved water access (number of people),HDI Medium,3063,3056,3031,,
2064,WatSafImpNumb,Improved water access (number of people),HDI Medium,3067,3060,3038,,
2065,WatSafImpNumb,Improved water access (number of people),HDI Medium,3071,3063,3045,,
2066,WatSafImpNumb,Improved water access (number of people),HDI Medium,3073,3065,3050,,
2067,WatSafImpNumb,Improved water access (number of people),HDI Medium,3075,3067,3055,,
2068,WatSafImpNumb,Improved water access (number of people),HDI Medium,3077,3069,3060,,
2069,WatSafImpNumb,Improved water access (number of people),HDI Medium,3078,3069,3063,,
2070,WatSafImpNumb,Improved water access (number of people),HDI Medium,3078,3070,3066,,
2071,WatSafImpNumb,Improved water access (number of people),HDI Medium,3078,3069,3068,,
2072,WatSafImpNumb,Improved water access (number of people),HDI Medium,3077,3068,3070,,
2073,WatSafImpNumb,Improved water access (number of people),HDI Medium,3075,3067,3070,,
2074,WatSafImpNumb,Improved water access (number of people),HDI Medium,3073,3064,3070,,
2075,WatSafImpNumb,Improved water access (number of people),HDI Medium,3071,3062,3069,,
2076,WatSafImpNumb,Improved water access (number of people),HDI Medium,3068,3059,3068,,
2077,WatSafImpNumb,Improved water access (number of people),HDI Medium,3064,3055,3066,,
2078,WatSafImpNumb,Improved water access (number of people),HDI Medium,3060,3050,3064,,
2079,WatSafImpNumb,Improved water access (number of people),HDI Medium,3055,3045,3061,,
2080,WatSafImpNumb,Improved water access (number of people),HDI Medium,3049,3040,3057,,
2081,WatSafImpNumb,Improved water access (number of people),HDI Medium,3044,3034,3053,,
2082,WatSafImpNumb,Improved water access (number of people),HDI Medium,3037,3027,3049,,
2083,WatSafImpNumb,Improved water access (number of people),HDI Medium,3030,3020,3044,,
2084,WatSafImpNumb,Improved water access (number of people),HDI Medium,3023,3013,3038,,
2085,WatSafImpNumb,Improved water access (number of people),HDI Medium,3015,3005,3032,,
2086,WatSafImpNumb,Improved water access (number of people),HDI Medium,3006,2996,3026,,
2087,WatSafImpNumb,Improved water access (number of people),HDI Medium,2998,2987,3019,,
2088,WatSafImpNumb,Improved water access (number of people),HDI Medium,2988,2978,3012,,
2089,WatSafImpNumb,Improved water access (number of people),HDI Medium,2979,2968,3005,,
2090,WatSafImpNumb,Improved water access (number of people),HDI Medium,2968,2957,2997,,
2091,WatSafImpNumb,Improved water access (number of people),HDI Medium,2958,2947,2988,,
2092,WatSafImpNumb,Improved water access (number of people),HDI Medium,2947,2936,2980,,
2093,WatSafImpNumb,Improved water access (number of people),HDI Medium,2936,2924,2971,,
2094,WatSafImpNumb,Improved water access (number of people),HDI Medium,2924,2913,2961,,
2095,WatSafImpNumb,Improved water access (number of people),HDI Medium,2913,2901,2950,,
2096,WatSafImpNumb,Improved water access (number of people),HDI Medium,2901,2889,2940,,
2097,WatSafImpNumb,Improved water access (number of people),HDI Medium,2888,2876,2929,,
2098,WatSafImpNumb,Improved water access (number of people),HDI Medium,2876,2863,2918,,
2099,WatSafImpNumb,Improved water access (number of people),HDI Medium,2863,2850,2906,,
2100,WatSafImpNumb,Improved water access (number of people),HDI Medium,2850,2837,2894,,
2019,Water%Improved,Improved water access (percent) ,HDI Medium,93,92.97,92.97,,
2020,Water%Improved,Improved water access (percent) ,HDI Medium,93.21,93.21,93.21,,
2021,Water%Improved,Improved water access (percent) ,HDI Medium,93.24,93.24,93.24,,
2022,Water%Improved,Improved water access (percent) ,HDI Medium,93.31,93.31,93.31,,
2023,Water%Improved,Improved water access (percent) ,HDI Medium,93.59,93.59,93.59,,
2024,Water%Improved,Improved water access (percent) ,HDI Medium,93.85,93.93,93.85,,
2025,Water%Improved,Improved water access (percent) ,HDI Medium,94.11,94.26,94.04,,
2026,Water%Improved,Improved water access (percent) ,HDI Medium,94.44,94.61,94.22,,
2027,Water%Improved,Improved water access (percent) ,HDI Medium,94.79,94.97,94.4,,
2028,Water%Improved,Improved water access (percent) ,HDI Medium,95.16,95.37,94.56,,
2029,Water%Improved,Improved water access (percent) ,HDI Medium,95.52,95.75,94.69,,
2030,Water%Improved,Improved water access (percent) ,HDI Medium,95.9,96.14,94.82,,
2031,Water%Improved,Improved water access (percent) ,HDI Medium,96.29,96.54,94.96,,
2032,Water%Improved,Improved water access (percent) ,HDI Medium,96.68,96.94,95.09,,
2033,Water%Improved,Improved water access (percent) ,HDI Medium,97.07,97.33,95.23,,
2034,Water%Improved,Improved water access (percent) ,HDI Medium,97.45,97.7,95.37,,
2035,Water%Improved,Improved water access (percent) ,HDI Medium,97.81,98.05,95.51,,
2036,Water%Improved,Improved water access (percent) ,HDI Medium,98.15,98.38,95.64,,
2037,Water%Improved,Improved water access (percent) ,HDI Medium,98.47,98.69,95.77,,
2038,Water%Improved,Improved water access (percent) ,HDI Medium,98.72,98.87,95.9,,
2039,Water%Improved,Improved water access (percent) ,HDI Medium,98.91,99.05,96.02,,
2040,Water%Improved,Improved water access (percent) ,HDI Medium,99.08,99.2,96.15,,
2041,Water%Improved,Improved water access (percent) ,HDI Medium,99.23,99.34,96.27,,
2042,Water%Improved,Improved water access (percent) ,HDI Medium,99.37,99.47,96.34,,
2043,Water%Improved,Improved water access (percent) ,HDI Medium,99.49,99.57,96.41,,
2044,Water%Improved,Improved water access (percent) ,HDI Medium,99.59,99.66,96.47,,
2045,Water%Improved,Improved water access (percent) ,HDI Medium,99.68,99.74,96.53,,
2046,Water%Improved,Improved water access (percent) ,HDI Medium,99.75,99.8,96.59,,
2047,Water%Improved,Improved water access (percent) ,HDI Medium,99.81,99.85,96.65,,
2048,Water%Improved,Improved water access (percent) ,HDI Medium,99.86,99.89,96.71,,
2049,Water%Improved,Improved water access (percent) ,HDI Medium,99.9,99.93,96.77,,
2050,Water%Improved,Improved water access (percent) ,HDI Medium,99.93,99.95,96.83,,
2051,Water%Improved,Improved water access (percent) ,HDI Medium,99.95,99.96,96.89,,
2052,Water%Improved,Improved water access (percent) ,HDI Medium,99.97,99.98,96.95,,
2053,Water%Improved,Improved water access (percent) ,HDI Medium,99.98,99.98,97.01,,
2054,Water%Improved,Improved water access (percent) ,HDI Medium,99.99,99.99,97.07,,
2055,Water%Improved,Improved water access (percent) ,HDI Medium,99.99,99.99,97.13,,
2056,Water%Improved,Improved water access (percent) ,HDI Medium,99.99,100,97.19,,
2057,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.25,,
2058,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.31,,
2059,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.37,,
2060,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.42,,
2061,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.48,,
2062,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.54,,
2063,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.6,,
2064,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.66,,
2065,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.72,,
2066,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.78,,
2067,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.84,,
2068,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.89,,
2069,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.95,,
2070,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,97.99,,
2071,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.04,,
2072,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.08,,
2073,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.12,,
2074,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.16,,
2075,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.2,,
2076,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.23,,
2077,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.27,,
2078,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.3,,
2079,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.34,,
2080,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.37,,
2081,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.41,,
2082,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.44,,
2083,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.48,,
2084,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.51,,
2085,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.55,,
2086,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.58,,
2087,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.61,,
2088,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.64,,
2089,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.68,,
2090,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.71,,
2091,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.74,,
2092,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.77,,
2093,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.81,,
2094,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.81,,
2095,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.82,,
2096,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.82,,
2097,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.83,,
2098,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.83,,
2099,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.84,,
2100,Water%Improved,Improved water access (percent) ,HDI Medium,100,100,98.85,,
2019,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,55,55.22,55.22,,
2020,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,54.44,54.44,54.44,,
2021,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,53.21,53.21,53.21,,
2022,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,50.87,50.87,50.87,,
2023,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,48.3,48.3,48.3,,
2024,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,46.58,46.27,46.58,,
2025,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,44.42,44.12,44.7,,
2026,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,42.52,42.18,43.09,,
2027,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,41.16,40.8,42.04,,
2028,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,39.56,39.11,40.68,,
2029,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,38.02,37.46,39.39,,
2030,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,36.32,35.66,38.01,,
2031,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,34.58,33.91,36.6,,
2032,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,32.95,32.34,35.21,,
2033,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,31.48,30.95,33.85,,
2034,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,30.19,29.74,32.62,,
2035,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,29.07,28.69,31.52,,
2036,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,28.09,27.73,30.54,,
2037,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,27.16,26.85,29.65,,
2038,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,26.28,25.99,28.84,,
2039,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,25.45,25.2,28.04,,
2040,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,24.65,24.42,27.25,,
2041,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,23.88,23.68,26.49,,
2042,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,23.15,22.96,25.74,,
2043,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,22.44,22.25,25,,
2044,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,21.76,21.57,24.28,,
2045,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,21.09,20.9,23.58,,
2046,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,20.45,20.26,22.89,,
2047,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,19.82,19.63,22.22,,
2048,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,19.22,19.03,21.57,,
2049,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,18.63,18.43,20.93,,
2050,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,18.05,17.85,20.32,,
2051,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,17.49,17.3,19.71,,
2052,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,16.94,16.76,19.12,,
2053,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,16.41,16.22,18.54,,
2054,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,15.88,15.71,17.97,,
2055,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,15.37,15.21,17.42,,
2056,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,14.88,14.73,16.88,,
2057,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,14.41,14.26,16.36,,
2058,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,13.95,13.8,15.83,,
2059,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,13.5,13.36,15.32,,
2060,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,13.07,12.92,14.83,,
2061,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,12.65,12.51,14.35,,
2062,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,12.23,12.1,13.88,,
2063,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,11.84,11.71,13.43,,
2064,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,11.46,11.35,12.99,,
2065,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,11.11,11,12.56,,
2066,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,10.78,10.68,12.15,,
2067,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,10.46,10.37,11.75,,
2068,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,10.16,10.07,11.36,,
2069,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,9.85811,9.77699,10.98,,
2070,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,9.58607,9.50923,10.63,,
2071,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,9.3142,9.24136,10.3,,
2072,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,9.05437,8.98519,9.9763,,
2073,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,8.79556,8.73077,9.66348,,
2074,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,8.54485,8.48186,9.35977,,
2075,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,8.29941,8.23813,9.06765,,
2076,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,8.05967,8.00613,8.7868,,
2077,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,7.83054,7.77946,8.5172,,
2078,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,7.60842,7.56021,8.26039,,
2079,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,7.39197,7.34575,8.01802,,
2080,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,7.18255,7.13797,7.78594,,
2081,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,6.97726,6.93424,7.56587,,
2082,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,6.77833,6.73594,7.35307,,
2083,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,6.58199,6.54149,7.14626,,
2084,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,6.3918,6.35208,6.94496,,
2085,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,6.20519,6.16668,6.74871,,
2086,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,6.02409,5.98811,6.55713,,
2087,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,5.84816,5.81525,6.36969,,
2088,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,5.67815,5.64584,6.18768,,
2089,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,5.51151,5.48406,6.01129,,
2090,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,5.35438,5.32581,5.84037,,
2091,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,5.19909,5.17021,5.67438,,
2092,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,5.04689,5.02128,5.51436,,
2093,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,4.90275,4.88564,5.35846,,
2094,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,4.77256,4.74869,5.20798,,
2095,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,4.63804,4.61853,5.06087,,
2096,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,4.51046,4.5006,4.91696,,
2097,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,4.40428,4.39806,4.77614,,
2098,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,4.30243,4.29771,4.63957,,
2099,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,4.20318,4.19893,4.50685,,
2100,MALNCHIL,Malnourished children under 5 (number of children),HDI Medium,4.10519,4.10152,4.3773,,
2019,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,25,25.03,25.03,,
2020,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,24.86,24.86,24.86,,
2021,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,24.45,24.45,24.45,,
2022,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,23.46,23.46,23.46,,
2023,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,22.29,22.29,22.29,,
2024,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,21.44,21.3,21.44,,
2025,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,20.41,20.26,20.53,,
2026,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,19.47,19.33,19.73,,
2027,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,18.8,18.68,19.2,,
2028,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,18.06,17.94,18.56,,
2029,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,17.41,17.28,17.98,,
2030,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,16.74,16.6,17.39,,
2031,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,16.1,15.95,16.82,,
2032,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,15.49,15.35,16.27,,
2033,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,14.93,14.78,15.76,,s
2034,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,14.41,14.27,15.28,,
2035,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,13.93,13.8,14.83,,
2036,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,13.49,13.37,14.42,,
2037,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,13.07,12.98,14.03,,
2038,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,12.7,12.61,13.67,,
2039,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,12.34,12.28,13.31,,
2040,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,12.02,11.96,12.97,,
2041,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,11.71,11.66,12.65,,
2042,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,11.42,11.38,12.34,,
2043,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,11.15,11.11,12.04,,
